"filename", "language", "Rust", "WGSL", "comment", "blank", "total"
"c:\Users\MACHINE\GG\rc\assets\shaders\distance_field.wgsl", "WGSL", 0, -12, -1, -4, -17
"c:\Users\MACHINE\GG\rc\assets\shaders\distance_jump_flood_loop.wgsl", "WGSL", 0, -30, -1, -5, -36
"c:\Users\MACHINE\GG\rc\assets\shaders\distance_jump_flood_seed.wgsl", "WGSL", 0, -18, 0, -4, -22
"c:\Users\MACHINE\GG\rc\assets\shaders\draw.wgsl", "WGSL", 0, -27, 0, -5, -32
"c:\Users\MACHINE\GG\rc\assets\shaders\output.wgsl", "WGSL", 0, -52, -4, -9, -65
"c:\Users\MACHINE\GG\rc\assets\shaders\radiance_cascades_dense.wgsl", "WGSL", 0, -29, -4, -8, -41
"c:\Users\MACHINE\GG\rc\assets\shaders\radiance_cascades_sparse.wgsl", "WGSL", 0, -405, -91, -94, -590
"c:\Users\MACHINE\GG\rc\assets\shaders\rc.wgsl", "WGSL", 0, -154, -48, -30, -232
"c:\Users\MACHINE\GG\rc\assets\shaders\reset.wgsl", "WGSL", 0, -3, -1, 0, -4
"c:\Users\MACHINE\GG\rc\src\core\constants.rs", "Rust", 8, 0, 14, 8, 30
"c:\Users\MACHINE\GG\rc\src\core\math.rs", "Rust", 12, 0, 0, 4, 16
"c:\Users\MACHINE\GG\rc\src\debug\metrics.rs", "Rust", 55, 0, 1, 8, 64
"c:\Users\MACHINE\GG\rc\src\debug\statistics.rs", "Rust", 147, 0, 0, 19, 166
"c:\Users\MACHINE\GG\rc\src\debug\timings.rs", "Rust", 38, 0, 0, 6, 44
"c:\Users\MACHINE\GG\rc\src\gpu_api\attach.rs", "Rust", 225, 0, 13, 28, 266
"c:\Users\MACHINE\GG\rc\src\gpu_api\bind.rs", "Rust", 159, 0, 1, 35, 195
"c:\Users\MACHINE\GG\rc\src\gpu_api\color.rs", "Rust", 134, 0, 2, 31, 167
"c:\Users\MACHINE\GG\rc\src\gpu_api\pass.rs", "Rust", 256, 0, 6, 48, 310
"c:\Users\MACHINE\GG\rc\src\gpu_api\utils.rs", "Rust", 95, 0, 19, 20, 134
"c:\Users\MACHINE\GG\rc\src\gpu_passes\distance_field.rs", "Rust", 18, 0, 2, 5, 25
"c:\Users\MACHINE\GG\rc\src\gpu_passes\distance_jump_flood_loop.rs", "Rust", 85, 0, 4, 16, 105
"c:\Users\MACHINE\GG\rc\src\gpu_passes\distance_jump_flood_seed.rs", "Rust", 22, 0, 0, 6, 28
"c:\Users\MACHINE\GG\rc\src\gpu_passes\draw.rs", "Rust", 70, 0, 1, 14, 85
"c:\Users\MACHINE\GG\rc\src\gpu_passes\output.rs", "Rust", 33, 0, 0, 7, 40
"c:\Users\MACHINE\GG\rc\src\gpu_passes\plugin.rs", "Rust", 55, 0, 0, 9, 64
"c:\Users\MACHINE\GG\rc\src\gpu_passes\radiance_cascades_dense.rs", "Rust", 126, 0, 10, 23, 159
"c:\Users\MACHINE\GG\rc\src\gpu_passes\radiance_cascades_sparse.rs", "Rust", 48, 0, 4, 9, 61
"c:\Users\MACHINE\GG\rc\src\gpu_passes\reset.rs", "Rust", 43, 0, 1, 6, 50
"c:\Users\MACHINE\GG\rc\src\gpu_passes\utils.rs", "Rust", 14, 0, 4, 2, 20
"c:\Users\MACHINE\GG\rc\src\gpu_resources\mouse_trail.rs", "Rust", 153, 0, 14, 18, 185
"c:\Users\MACHINE\GG\rc\src\gpu_resources\slab.rs", "Rust", 44, 0, 4, 9, 57
"c:\Users\MACHINE\GG\rc\src\gpu_resources\textures.rs", "Rust", 174, 0, 8, 17, 199
"c:\Users\MACHINE\GG\rc\src\gpu_resources\uniforms.rs", "Rust", 144, 0, 5, 13, 162
"c:\Users\MACHINE\GG\rc\src\lib.rs", "Rust", 39, 0, 1, 6, 46
"c:\Users\MACHINE\GG\rc\src\main.rs", "Rust", 17, 0, 5, 3, 25
"c:\Users\MACHINE\GG\rc\src\utils\extensions.rs", "Rust", 60, 0, 0, 14, 74
"c:\Users\MACHINE\GG\rc\src\utils\launch.rs", "Rust", 19, 0, 0, 1, 20
"c:\Users\MACHINE\GG\rc\src\utils\save_load.rs", "Rust", 174, 0, 5, 24, 203
"Total", "-", 2467, -730, -26, 250, 1961
