"filename", "language", "Rust", "comment", "blank", "total"
"c:\Users\MACHINE\GG\rc\src\core\constants.rs", "Rust", -1, -1, -1, -3
"c:\Users\MACHINE\GG\rc\src\debug\statistics.rs", "Rust", 21, 23, 5, 49
"c:\Users\MACHINE\GG\rc\src\debug\timings.rs", "Rust", 2, 1, 1, 4
"c:\Users\MACHINE\GG\rc\src\gpu_api\attach.rs", "Rust", -225, -10, -26, -261
"c:\Users\MACHINE\GG\rc\src\gpu_api\bind.rs", "Rust", -159, -1, -35, -195
"c:\Users\MACHINE\GG\rc\src\gpu_api\color.rs", "Rust", -134, -2, -31, -167
"c:\Users\MACHINE\GG\rc\src\gpu_api\pass.rs", "Rust", -256, -6, -48, -310
"c:\Users\MACHINE\GG\rc\src\gpu_api\utils.rs", "Rust", -95, -19, -20, -134
"c:\Users\MACHINE\GG\rc\src\gpu_passes\dist_field.rs", "Rust", 0, 0, 1, 1
"c:\Users\MACHINE\GG\rc\src\gpu_passes\dist_jfa_loop.rs", "Rust", 0, 0, 1, 1
"c:\Users\MACHINE\GG\rc\src\gpu_passes\dist_jfa_seed.rs", "Rust", 0, 0, 1, 1
"c:\Users\MACHINE\GG\rc\src\gpu_passes\draw.rs", "Rust", 0, 0, 2, 2
"c:\Users\MACHINE\GG\rc\src\gpu_passes\output.rs", "Rust", -2, 0, 1, -1
"c:\Users\MACHINE\GG\rc\src\gpu_passes\plugin.rs", "Rust", -8, 0, 0, -8
"c:\Users\MACHINE\GG\rc\src\gpu_passes\rc_dense.rs", "Rust", 0, 0, 3, 3
"c:\Users\MACHINE\GG\rc\src\gpu_passes\rc_sparse.rs", "Rust", -1, 0, 1, 0
"c:\Users\MACHINE\GG\rc\src\gpu_passes\reset.rs", "Rust", -1, 0, 1, 0
"c:\Users\MACHINE\GG\rc\src\gpu_resources\textures.rs", "Rust", 1, 0, 0, 1
"c:\Users\MACHINE\GG\rc\src\gpu_resources\uniforms.rs", "Rust", -3, 0, 0, -3
"c:\Users\MACHINE\GG\rc\src\lib.rs", "Rust", -7, -2, -1, -10
"c:\Users\MACHINE\GG\rc\src\main.rs", "Rust", 0, 1, 0, 1
"Total", "-", -868, -16, -145, -1029
